2023-04-14 23:27:06 status unpacked dash:amd64 0.5.12-2ubuntu1
2023-04-14 23:27:06 install debconf:all <none> 1.5.82
2023-04-14 23:27:06 status half-installed debconf:all 1.5.82
2023-04-14 23:27:06 status unpacked debconf:all 1.5.82
2023-04-14 23:27:06 install debianutils:amd64 <none> 5.7-0.4
2023-04-14 23:27:06 status half-installed debianutils:amd64 5.7-0.4
2023-04-14 23:27:06 status unpacked debianutils:amd64 5.7-0.4
2023-04-14 23:27:06 install diffutils:amd64 <none> 1:3.8-4
2023-04-14 23:27:06 status half-installed diffutils:amd64 1:3.8-4
2023-04-14 23:27:06 status unpacked diffutils:amd64 1:3.8-4
2023-04-14 23:27:06 upgrade dpkg:amd64 1.21.21ubuntu1 1.21.21ubuntu1
2023-04-14 23:27:06 status half-configured dpkg:amd64 1.21.21ubuntu1
2023-04-14 23:27:06 status unpacked dpkg:amd64 1.21.21ubuntu1
2023-04-14 23:27:06 status half-installed dpkg:amd64 1.21.21ubuntu1
2023-04-14 23:27:06 status unpacked dpkg:amd64 1.21.21ubuntu1
2023-04-14 23:27:06 install e2fsprogs:amd64 <none> 1.47.0-1ubuntu1
2023-04-14 23:27:06 status half-installed e2fsprogs:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:06 status unpacked e2fsprogs:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:06 install findutils:amd64 <none> 4.9.0-3ubuntu1
2023-04-14 23:27:06 status half-installed findutils:amd64 4.9.0-3ubuntu1
2023-04-14 23:27:06 status unpacked findutils:amd64 4.9.0-3ubuntu1
2023-04-14 23:27:06 install gcc-13-base:amd64 <none> 13-20230320-1ubuntu1
2023-04-14 23:27:06 status half-installed gcc-13-base:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:06 status unpacked gcc-13-base:amd64 13-20230320-1ubuntu1
2023-04-14 23:27:06 install grep:amd64 <none> 3.8-5
2023-04-14 23:27:06 status half-installed grep:amd64 3.8-5
2023-04-14 23:27:06 status unpacked grep:amd64 3.8-5
